scenario,seed,strategy,detection_probability,false_alarm_probability,interception_ratio,average_intercept_delay,average_reward,coverage
periodic,17,Random,0.8421052631578947,0.06172839506172839,0.32558139534883723,25.15714285714286,0.11,1.0
periodic,17,Adaptive,0.9259259259259259,0.0684931506849315,0.09302325581395349,11.4,0.2,1.0
periodic,17,Smart Adaptive,0.8888888888888888,0.06097560975609756,0.22790697674418606,24.081632653061224,0.11,1.0
periodic,18,Sequential,0.8947368421052632,0.06172839506172839,0.2962962962962963,20.421875,0.12,1.0
periodic,18,Random,1.0,0.07228915662650602,0.3472222222222222,31.69333333333333,0.11,0.95
periodic,18,Adaptive,0.96875,0.07352941176470588,0.1111111111111111,8.416666666666666,0.26,1.0
periodic,18,Smart Adaptive,1.0,0.06493506493506493,0.22685185185185186,20.857142857142858,0.18,1.0
periodic,19,Sequential,0.9130434782608695,0.07792207792207792,0.4647887323943662,21.585858585858585,0.15,1.0
periodic,19,Random,0.95,0.075,0.4131455399061033,21.125,0.13,1.0
periodic,19,Adaptive,0.9583333333333334,0.07894736842105263,0.12206572769953052,20.846153846153847,0.17,1.0
periodic,19,Smart Adaptive,1.0,0.07142857142857142,0.36619718309859156,24.153846153846153,0.1,1.0
periodic,20,Sequential,0.9444444444444444,0.06097560975609756,0.24444444444444444,15.218181818181819,0.12,1.0
periodic,20,Random,1.0,0.07407407407407407,0.28,21.063492063492063,0.13,1.0
periodic,20,Adaptive,1.0,0.08450704225352113,0.12444444444444444,5.714285714285714,0.23,1.0
periodic,20,Smart Adaptive,0.9565217391304348,0.06493506493506493,0.26666666666666666,26.566666666666666,0.17,1.0
bursty,1,Sequential,1.0,0.06976744186046512,0.3112244897959184,25.81967213114754,0.08,1.0
bursty,1,Random,0.9333333333333333,0.07058823529411765,0.29591836734693877,27.655172413793103,0.08,1.0
bursty,1,Adaptive,0.9230769230769231,0.08045977011494253,0.07653061224489796,5.533333333333333,0.05,1.0
bursty,1,Smart Adaptive,0.8823529411764706,0.07228915662650602,0.2755102040816326,25.037037037037038,0.09,1.0
bursty,2,Sequential,0.8888888888888888,0.07317073170731707,0.37073170731707317,23.855263157894736,0.1,1.0
bursty,2,Random,1.0,0.06329113924050633,0.43414634146341463,24.98876404494382,0.16,1.0
bursty,2,Adaptive,0.9444444444444444,0.08536585365853659,0.1902439024390244,17.28205128205128,0.1,1.0
bursty,2,Smart Adaptive,0.9166666666666666,0.09210526315789473,0.33170731707317075,21.279411764705884,0.15,1.0
bursty,3,Sequential,0.9259259259259259,0.0684931506849315,0.49760765550239233,21.596153846153847,0.2,1.0
bursty,3,Random,0.8947368421052632,0.07407407407407407,0.3588516746411483,23.653333333333332,0.11,1.0
bursty,3,Adaptive,0.9545454545454546,0.038461538461538464,0.15311004784688995,10.84375,0.18,1.0
bursty,3,Smart Adaptive,0.95,0.0625,0.291866028708134,22.81967213114754,0.14,1.0
bursty,4,Sequential,0.8947368421052632,0.06172839506172839,0.3248730964467005,19.078125,0.12,1.0
bursty,4,Random,0.9473684210526315,0.07407407407407407,0.28426395939086296,22.446428571428573,0.12,1.0
bursty,4,Adaptive,0.896551724137931,0.056338028169014086,0.22842639593908629,19.466666666666665,0.22,1.0
bursty,4,Smart Adaptive,0.9032258064516129,0.10144927536231885,0.3756345177664975,26.12162162162162,0.21,1.0
bursty,5,Sequential,0.9090909090909091,0.05128205128205128,0.46153846153846156,26.020833333333332,0.16,1.0
bursty,5,Random,0.96,0.06666666666666667,0.46634615384615385,22.52577319587629,0.19,1.0
bursty,5,Adaptive,1.0,0.0625,0.14903846153846154,20.838709677419356,0.15,1.0
bursty,5,Smart Adaptive,1.0,0.06172839506172839,0.32211538461538464,23.82089552238806,0.14,1.0
